"Gene","Overall_Centrality","Score_DC","Score_BC","Score_CC","Score_MCC","Score_DMNC","Rank_DC","Rank_BC","Rank_CC","Rank_MCC","Rank_DMNC"
"EGFR",0.857121936740446,38,12009.37299,97.88333333,236,0.162966016,1,1,1,1,95
"HIF1A",0.561516985654326,25,4902.034237,85.80952381,130,0.179169632,2,2,2,4,93
"CXCL12",0.538622628467768,16,1167.354668,78.41666667,198,0.305123001,4,23,4,2,72
"CSF1",0.476180285266481,16,1383.307089,76.14285714,126,0.304050767,4,19,7,5,73
"VEGFC",0.473849359309583,10,185.3898008,71.37619048,148,0.419005086,15,82,12,3,16
"COL4A3",0.437491007032182,8,1709.192303,70.04285714,29,0.568393712,21,13,16,16,2
"VEGFD",0.432695215497922,6,33.627621,68.29285714,72,0.570589953,36,110,25,6,1
"ERBB4",0.427906316000185,10,1033.428771,71.27619048,54,0.475491628,15,26,13,8,7
"OSM",0.41661294537875,9,524.9370257,69.12619048,62,0.475638153,18,42,20,7,6
"NPM1",0.41333039132895,15,2659.41186,75.42619048,42,0.28639734,6,6,8,12,76
"CD74",0.412698870439237,15,4483.250772,76.83333333,24,0.233258248,6,3,6,22,91
"BRD4",0.412269864817149,13,2873.356134,77.69285714,53,0.263429487,9,4,5,9,87
"TFRC",0.409885597733755,19,2689.92699,80.66666667,48,0.170002821,3,5,3,10,94
"STAG2",0.378284112517562,5,135.8679447,63.27619048,25,0.568393712,48,90,45,19,2
"LMNB1",0.377252744205384,11,1179.638851,68.82738095,43,0.349887372,11,22,22,11,19
"MYH9",0.370246980721568,11,2476.751439,74.17619048,20,0.292700402,11,7,10,24,74
"IL6R",0.362918481620447,7,73.92762022,67.07619048,40,0.439050603,26,101,30,13,14
"COLGALT2",0.359749992656174,5,354,52.42738095,25,0.568393712,48,61,104,19,2
"COL6A1",0.354130346839177,5,16.55788656,52.42738095,25,0.568393712,48,114,104,19,2
"CTCF",0.353095578799297,7,160.7906402,61.56071429,40,0.439050603,26,87,51,13,14
"VTN",0.352048970147125,14,1992.172026,74.45952381,19,0.219525302,8,10,9,25,92
"ENG",0.351098567291932,11,654.0712978,68.35238095,40,0.310263785,11,36,23,13,27
"INPP5D",0.348542850455936,7,445.5887955,61.44285714,15,0.473661427,26,47,52,30,8
"BSG",0.348033849388797,5,369.7856521,67.79285714,13,0.473661427,48,55,27,33,8
"CTSS",0.345537519980633,12,1243.237111,68.31666667,23,0.292700402,10,20,24,23,74
"GAB2",0.343002246156867,8,1624.447408,69.45952381,18,0.332844139,21,15,19,26,20
"ACAN",0.339952837642811,11,1688.598729,70.13571429,13,0.284196856,11,14,15,33,77
"PLOD3",0.333214461484963,6,434.0006664,55.04404762,27,0.453783847,36,49,85,17,11
"IL2RB",0.328223370606685,10,703.21314,64.58333333,18,0.332844139,15,34,35,26,20
"CTNND1",0.326848471118488,9,2136.338491,69.90952381,12,0.259305055,18,8,17,36,88
"EHMT2",0.326798669225075,7,1415.029679,60.80952381,11,0.378929142,26,18,56,38,18
"CSF2RA",0.326580098270334,6,37.52426283,59.17619048,17,0.453783847,36,108,63,28,11
"HSP90B1",0.325146897948321,8,728.3667324,71.59285714,13,0.324131319,21,28,11,33,24
"PSMB3",0.324506520326273,9,1732.117349,64.36666667,10,0.308975371,18,12,37,40,28
"CLEC11A",0.323221936392113,4,126.9290885,64.44285714,7,0.463463057,61,92,36,50,10
"IFNGR1",0.320497890093959,7,799.5525712,68.15952381,17,0.332844139,26,27,26,28,20
"PLOD1",0.320186826371,5,80.00066644,54.54404762,26,0.453783847,48,98,88,18,11
