Source,Target,Type,Identity
1202.0,128827.0,Directed,14997416.0
1202.0,128827.0,Directed,14997415.0
1202.0,128827.0,Directed,14997414.0
1202.0,173797.0,Directed,14997394.0
1202.0,173797.0,Directed,14997392.0
1202.0,173797.0,Directed,14997393.0
1202.0,118798.0,Directed,14997391.0
1202.0,118798.0,Directed,14997390.0
1202.0,118798.0,Directed,14997389.0
1202.0,72560.0,Directed,14997388.0
1202.0,72560.0,Directed,14997386.0
1202.0,72560.0,Directed,14997387.0
1202.0,5366806.0,Directed,33131724.0
1202.0,5366806.0,Directed,33131725.0
1202.0,5366806.0,Directed,33131720.0
1202.0,5366806.0,Directed,33131719.0
1202.0,5366806.0,Directed,33131717.0
1202.0,5366806.0,Directed,33131726.0
1202.0,5366806.0,Directed,33131731.0
5366808.0,5366806.0,Directed,33131741.0
1202.0,5366808.0,Directed,33131821.0
5366808.0,5366806.0,Directed,33131775.0
5366808.0,5366806.0,Directed,33131749.0
5366808.0,5366806.0,Directed,33131757.0
5366810.0,5366806.0,Directed,33131866.0
1202.0,5366810.0,Directed,33131950.0
5366810.0,5366806.0,Directed,33131884.0
5366810.0,5366806.0,Directed,33131875.0
5366810.0,5366806.0,Directed,33131897.0
5366812.0,5366806.0,Directed,33131995.0
1202.0,5366812.0,Directed,33132048.0
5366812.0,5366806.0,Directed,33132005.0
5366812.0,5366806.0,Directed,33132015.0
5366812.0,5366806.0,Directed,33132029.0
5366814.0,5366806.0,Directed,33132087.0
1202.0,5366814.0,Directed,33132157.0
5366814.0,5366806.0,Directed,33132076.0
5366814.0,5366806.0,Directed,33132065.0
5366814.0,5366806.0,Directed,33132102.0
5366816.0,5366806.0,Directed,33132214.0
1202.0,5366816.0,Directed,33132263.0
5366816.0,5366806.0,Directed,33132202.0
5366816.0,5366806.0,Directed,33132242.0
5366816.0,5366806.0,Directed,33132226.0
5366818.0,5366806.0,Directed,33132323.0
1202.0,5366818.0,Directed,33132345.0
5366818.0,5366806.0,Directed,33132293.0
5366818.0,5366806.0,Directed,33132306.0
5366818.0,5366806.0,Directed,33132280.0
5366820.0,5366806.0,Directed,33132390.0
1202.0,5366820.0,Directed,33132431.0
5366820.0,5366806.0,Directed,33132408.0
5366820.0,5366806.0,Directed,33132362.0
5366820.0,5366806.0,Directed,33132376.0
5366822.0,5366806.0,Directed,33132448.0
1202.0,5366822.0,Directed,33132556.0
5366822.0,5366806.0,Directed,33132463.0
5366822.0,5366806.0,Directed,33132478.0
5366822.0,5366806.0,Directed,33132497.0
5366824.0,5366806.0,Directed,33132654.0
1202.0,5366824.0,Directed,33132678.0
5366824.0,5366806.0,Directed,33132617.0
5366824.0,5366806.0,Directed,33132633.0
5366824.0,5366806.0,Directed,33132601.0
5366826.0,5366806.0,Directed,33132753.0
1202.0,5366826.0,Directed,33132778.0
5366826.0,5366806.0,Directed,33132714.0
5366826.0,5366806.0,Directed,33132731.0
5366826.0,5366806.0,Directed,33132697.0
5366828.0,5366806.0,Directed,33132795.0
1202.0,5366828.0,Directed,33132880.0
5366828.0,5366806.0,Directed,33132854.0
5366828.0,5366806.0,Directed,33132831.0
5366828.0,5366806.0,Directed,33132813.0
5366830.0,5366806.0,Directed,33132918.0
1202.0,5366830.0,Directed,33132988.0
5366830.0,5366806.0,Directed,33132899.0
5366830.0,5366806.0,Directed,33132961.0
5366830.0,5366806.0,Directed,33132937.0
5366832.0,5366806.0,Directed,33133045.0
1202.0,5366832.0,Directed,33133140.0
5366832.0,5366806.0,Directed,33133025.0
5366832.0,5366806.0,Directed,33133005.0
5366832.0,5366806.0,Directed,33133070.0
5366834.0,5366806.0,Directed,33133257.0
1202.0,5366834.0,Directed,33133288.0
5366834.0,5366806.0,Directed,33133191.0
5366834.0,5366806.0,Directed,33133212.0
5366834.0,5366806.0,Directed,33133233.0
5366836.0,5366806.0,Directed,33133377.0
1202.0,5366836.0,Directed,33133406.0
5366836.0,5366806.0,Directed,33133306.0
5366836.0,5366806.0,Directed,33133328.0
5366836.0,5366806.0,Directed,33133350.0
5366838.0,5366806.0,Directed,33133425.0
1202.0,5366838.0,Directed,33133528.0
5366838.0,5366806.0,Directed,33133471.0
5366838.0,5366806.0,Directed,33133448.0
5366838.0,5366806.0,Directed,33133499.0
5366840.0,5366806.0,Directed,33133625.0
1202.0,5366840.0,Directed,33133654.0
5366840.0,5366806.0,Directed,33133572.0
5366840.0,5366806.0,Directed,33133596.0
5366840.0,5366806.0,Directed,33133548.0
5366842.0,5366806.0,Directed,33133675.0
1202.0,5366842.0,Directed,33133819.0
5366842.0,5366806.0,Directed,33133755.0
5366842.0,5366806.0,Directed,33133700.0
5366842.0,5366806.0,Directed,33133725.0
5366844.0,5366806.0,Directed,33133869.0
1202.0,5366844.0,Directed,33133981.0
5366844.0,5366806.0,Directed,33133951.0
5366844.0,5366806.0,Directed,33133921.0
5366844.0,5366806.0,Directed,33133895.0
5366846.0,5366806.0,Directed,33134088.0
1202.0,5366846.0,Directed,33134131.0
5366846.0,5366806.0,Directed,33134003.0
5366846.0,5366806.0,Directed,33134057.0
5366846.0,5366806.0,Directed,33134030.0
