Id,properties._n_name,properties.n_name,modularity_class
142152,AUDITORY AURA|FOCAL SENSORY AUDITORY SEIZURE,"['AUDITORY AURA', 'FOCAL SENSORY AUDITORY SEIZURE']",1
5358844,,,1
5358846,,,1
5358848,,,1
5358850,,,1
5360908,,,1
5368180,,,1
5368194,,,1
5368192,,,1
5368190,,,1
5368188,,,1
5368186,,,1
5368184,,,1
5368182,,,1
5368196,,,1
5368198,,,1
5368396,,,1
3382,"nan, AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES|ADLTE|ADPEAF|AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY|ETL1, ETL7|FAMILIAL TEMPORAL LOBE EPILEPSY 7, EPILEPSIA AUTOSÓMICA DOMINANTE CON AFECTACIÓN AUDITIVA, AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES, AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES|ADLTE|ADPEAF|AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY|EPILEPSY, PARTIAL, WITH AUDITORY FEATURES|ETL1, ETL1|PARTIAL EPILEPSY WITH AUDITORY FEATURES|FAMILIAL TEMPORAL LOBE EPILEPSY 1, ADLTE|ADPEAF|EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT|EPILEPSY, PARTIAL, WITH AUDITORY FEATURES|ETL1|EPILEPSY, FAMILIAL TEMPORAL LOBE, 1, FAMILIAL TEMPORAL LOBE EPILEPSY 1|AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY|AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES|EPILEPSY, FAMILIAL TEMPORAL LOBE 1|EPILEPSY, FAMILIAL TEMPORAL LOBE, 1|EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT|ETL1, ETL8|FAMILIAL TEMPORAL LOBE EPILEPSY 8, FOCAL AWARE SEIZURES|FOCAL SEIZURE WITH RETAINED AWARENESS|FOCAL SEIZURE WITHOUT IMPAIRMENT OF CONSCIOUSNESS OR AWARENESS|FOCAL SEIZURES WITHOUT IMPAIRMENT OF CONSCIOUSNESS OR AWARENESS|SIMPLE PARTIAL SEIZURE|SIMPLE PARTIAL SEIZURES|FOCAL AWARE SEIZURE, ADERMATOGLYPHIA|BASAN SYNDROME|ENHANCER TRAP LOCUS 1, MOUSE, HOMOLOG OF|ETL1|HEL1|HUMAN HELICASE 1|HURIEZ SYNDROME|KIAA1122|SMARCAD1|SWI/SNF-RELATED, MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN, SUBFAMILY A, DEAD/H BOX-CONTAINING, 1, AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES|ADLTE|ADPEAF|AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES|AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY|EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT|EPILEPSY, PARTIAL, WITH AUDITORY FEATURES|PARTIAL EPILEPSY WITH AUDITORY AURA, ADLTE|ADPAEF|ADPEAF|EPITEMPIN|EPT|ETL1|IB1099|LGI1, EPILEPSY, FAMILIAL TEMPORAL LOBE, 1, ADEAF|ADLTE|ADPEAF|AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY|EPILEPSY, FAMILIAL TEMPORAL LOBE 1|EPILEPSY, FAMILIAL TEMPORAL LOBE, TYPE 1|ETL1|FAMILIAL TEMPORAL LOBE EPILEPSY TYPE 1|PARTIAL EPILEPSY WITH AUDITORY AURA|PARTIAL EPILEPSY WITH AUDITORY FEATURES|AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES|AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES|EPILEPSY, FAMILIAL TEMPORAL LOBE, 1|EPILEPSY, FAMILIAL TEMPORAL LOBE, 1; ETL1|EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT|EPILEPSY, PARTIAL, WITH AUDITORY FEATURES|FAMILIAL TEMPORAL LOBE EPILEPSY 1, ADEAF|ADLTE|ADPEAF|AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY|EPILEPSY, FAMILIAL TEMPORAL LOBE 1|EPILEPSY, FAMILIAL TEMPORAL LOBE, TYPE 1|ETL1|FAMILIAL TEMPORAL LOBE EPILEPSY 1|FAMILIAL TEMPORAL LOBE EPILEPSY TYPE 1|PARTIAL EPILEPSY WITH AUDITORY AURA|PARTIAL EPILEPSY WITH AUDITORY FEATURES|AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES|AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES|EPILEPSY, FAMILIAL TEMPORAL LOBE, 1|EPILEPSY, FAMILIAL TEMPORAL LOBE, 1; ETL1|EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT|EPILEPSY, PARTIAL, WITH AUDITORY FEATURES, AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES|EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT|EPILEPSY, PARTIAL, WITH AUDITORY FEATURES|AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY, AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY|EPILEPSY, FAMILIAL TEMPORAL LOBE 1|ETL1, ADERM|ETL1|HEL1|SMARCAD1, LGI1 WT ALLELE|ADLTE|ADPAEF|ADPEAF|EPILEPSY, PARTIAL GENE|EPITEMPIN|EPT|ETL1|IB1099|LEUCINE RICH GLIOMA INACTIVATED 1 WT ALLELE|LEUCINE-RICH, GLIOMA INACTIVATED 1 GENE|UNQ775/PRO1569","nan, ['AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'ADLTE', 'ADPEAF', 'AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY', 'ETL1'], ['ETL7', 'FAMILIAL TEMPORAL LOBE EPILEPSY 7'], EPILEPSIA AUTOSÓMICA DOMINANTE CON AFECTACIÓN AUDITIVA, AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES, ['AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'ADLTE', 'ADPEAF', 'AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY', 'EPILEPSY, PARTIAL, WITH AUDITORY FEATURES', 'ETL1'], ['ETL1', 'PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'FAMILIAL TEMPORAL LOBE EPILEPSY 1'], ['ADLTE', 'ADPEAF', 'EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT', 'EPILEPSY, PARTIAL, WITH AUDITORY FEATURES', 'ETL1', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, 1'], ['FAMILIAL TEMPORAL LOBE EPILEPSY 1', 'AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY', 'AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'EPILEPSY, FAMILIAL TEMPORAL LOBE 1', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, 1', 'EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT', 'ETL1'], ['ETL8', 'FAMILIAL TEMPORAL LOBE EPILEPSY 8'], ['FOCAL AWARE SEIZURES', 'FOCAL SEIZURE WITH RETAINED AWARENESS', 'FOCAL SEIZURE WITHOUT IMPAIRMENT OF CONSCIOUSNESS OR AWARENESS', 'FOCAL SEIZURES WITHOUT IMPAIRMENT OF CONSCIOUSNESS OR AWARENESS', 'SIMPLE PARTIAL SEIZURE', 'SIMPLE PARTIAL SEIZURES', 'FOCAL AWARE SEIZURE'], ['ADERMATOGLYPHIA', 'BASAN SYNDROME', 'ENHANCER TRAP LOCUS 1, MOUSE, HOMOLOG OF', 'ETL1', 'HEL1', 'HUMAN HELICASE 1', 'HURIEZ SYNDROME', 'KIAA1122', 'SMARCAD1', 'SWI/SNF-RELATED, MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN, SUBFAMILY A, DEAD/H BOX-CONTAINING, 1'], ['AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'ADLTE', 'ADPEAF', 'AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES', 'AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY', 'EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT', 'EPILEPSY, PARTIAL, WITH AUDITORY FEATURES', 'PARTIAL EPILEPSY WITH AUDITORY AURA'], ['ADLTE', 'ADPAEF', 'ADPEAF', 'EPITEMPIN', 'EPT', 'ETL1', 'IB1099', 'LGI1'], EPILEPSY, FAMILIAL TEMPORAL LOBE, 1, ['ADEAF', 'ADLTE', 'ADPEAF', 'AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY', 'EPILEPSY, FAMILIAL TEMPORAL LOBE 1', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, TYPE 1', 'ETL1', 'FAMILIAL TEMPORAL LOBE EPILEPSY TYPE 1', 'PARTIAL EPILEPSY WITH AUDITORY AURA', 'PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES', 'AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, 1', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, 1; ETL1', 'EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT', 'EPILEPSY, PARTIAL, WITH AUDITORY FEATURES', 'FAMILIAL TEMPORAL LOBE EPILEPSY 1'], ['ADEAF', 'ADLTE', 'ADPEAF', 'AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY', 'EPILEPSY, FAMILIAL TEMPORAL LOBE 1', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, TYPE 1', 'ETL1', 'FAMILIAL TEMPORAL LOBE EPILEPSY 1', 'FAMILIAL TEMPORAL LOBE EPILEPSY TYPE 1', 'PARTIAL EPILEPSY WITH AUDITORY AURA', 'PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'AUTOSOMAL DOMINANT EPILEPSY WITH AUDITORY FEATURES', 'AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, 1', 'EPILEPSY, FAMILIAL TEMPORAL LOBE, 1; ETL1', 'EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT', 'EPILEPSY, PARTIAL, WITH AUDITORY FEATURES'], ['AUTOSOMAL DOMINANT PARTIAL EPILEPSY WITH AUDITORY FEATURES', 'EPILEPSY, LATERAL TEMPORAL LOBE, AUTOSOMAL DOMINANT', 'EPILEPSY, PARTIAL, WITH AUDITORY FEATURES', 'AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY'], ['AUTOSOMAL DOMINANT LATERAL TEMPORAL LOBE EPILEPSY', 'EPILEPSY, FAMILIAL TEMPORAL LOBE 1', 'ETL1'], ['ADERM', 'ETL1', 'HEL1', 'SMARCAD1'], ['LGI1 WT ALLELE', 'ADLTE', 'ADPAEF', 'ADPEAF', 'EPILEPSY, PARTIAL GENE', 'EPITEMPIN', 'EPT', 'ETL1', 'IB1099', 'LEUCINE RICH GLIOMA INACTIVATED 1 WT ALLELE', 'LEUCINE-RICH, GLIOMA INACTIVATED 1 GENE', 'UNQ775/PRO1569']",1
