Source,Target,Type,Identity
17313.0,186831.0,Directed,15071767.0
17313.0,186831.0,Directed,15071766.0
17313.0,129325.0,Directed,15071764.0
17313.0,129325.0,Directed,15071763.0
17313.0,186298.0,Directed,15071761.0
17313.0,186298.0,Directed,15071760.0
17313.0,132377.0,Directed,15071731.0
17313.0,132377.0,Directed,15071730.0
17313.0,86489.0,Directed,15071722.0
17313.0,86489.0,Directed,15071721.0
17313.0,105380.0,Directed,15071719.0
17313.0,105380.0,Directed,15071718.0
17313.0,105380.0,Directed,15071720.0
17313.0,86489.0,Directed,15071723.0
17313.0,132377.0,Directed,15071732.0
17313.0,186298.0,Directed,15071762.0
17313.0,129325.0,Directed,15071765.0
17313.0,186831.0,Directed,15071768.0
6389.0,105380.0,Directed,15075929.0
6389.0,105380.0,Directed,15075930.0
6389.0,105380.0,Directed,15075931.0
6389.0,79266.0,Directed,15075926.0
6389.0,79266.0,Directed,15075927.0
6389.0,79266.0,Directed,15075928.0
6389.0,166466.0,Directed,15075923.0
6389.0,166466.0,Directed,15075924.0
6389.0,166466.0,Directed,15075925.0
166466.0,98626.0,Directed,22101323.0
98626.0,6389.0,Directed,29605741.0
6389.0,98626.0,Directed,22097813.0
166466.0,98626.0,Directed,22101324.0
98626.0,6389.0,Directed,29605776.0
6389.0,98626.0,Directed,22097810.0
166466.0,98626.0,Directed,22101325.0
98626.0,6389.0,Directed,29605781.0
6389.0,98626.0,Directed,22097812.0
166466.0,98626.0,Directed,22101326.0
98626.0,6389.0,Directed,29605786.0
6389.0,98626.0,Directed,22097818.0
166466.0,98626.0,Directed,22101327.0
98626.0,6389.0,Directed,29605736.0
6389.0,98626.0,Directed,22097820.0
166466.0,98626.0,Directed,22101328.0
98626.0,6389.0,Directed,29605746.0
6389.0,98626.0,Directed,22097814.0
166466.0,98626.0,Directed,22101329.0
98626.0,6389.0,Directed,29605756.0
6389.0,98626.0,Directed,22097815.0
166466.0,98626.0,Directed,22101330.0
98626.0,6389.0,Directed,29605751.0
6389.0,98626.0,Directed,22097816.0
166466.0,98626.0,Directed,22101331.0
98626.0,6389.0,Directed,29605761.0
6389.0,98626.0,Directed,22097819.0
166466.0,98626.0,Directed,22101332.0
98626.0,6389.0,Directed,29605796.0
6389.0,98626.0,Directed,22097817.0
166466.0,98626.0,Directed,22101333.0
98626.0,6389.0,Directed,29605771.0
6389.0,98626.0,Directed,22097811.0
166466.0,98626.0,Directed,22101334.0
98626.0,6389.0,Directed,29605791.0
6389.0,98626.0,Directed,22097821.0
166466.0,98626.0,Directed,22101335.0
98626.0,6389.0,Directed,29605766.0
6389.0,98626.0,Directed,22097822.0
166466.0,98626.0,Directed,22101336.0
98626.0,6389.0,Directed,29605731.0
6389.0,98626.0,Directed,22097823.0
166466.0,98626.0,Directed,22101337.0
98626.0,6389.0,Directed,29605801.0
6389.0,98626.0,Directed,22097824.0
98626.0,166466.0,Directed,461649.0
98626.0,166466.0,Directed,28490544.0
98626.0,166466.0,Directed,28490550.0
98626.0,166466.0,Directed,28490556.0
98626.0,166466.0,Directed,28490562.0
98626.0,166466.0,Directed,28490568.0
98626.0,166466.0,Directed,28490574.0
98626.0,166466.0,Directed,28490580.0
98626.0,166466.0,Directed,28490586.0
98626.0,166466.0,Directed,28490592.0
98626.0,166466.0,Directed,28490598.0
98626.0,166466.0,Directed,28490604.0
98626.0,166466.0,Directed,28490610.0
98626.0,166466.0,Directed,28490616.0
98626.0,166466.0,Directed,28490622.0
98626.0,166466.0,Directed,28490628.0
6389.0,160471.0,Directed,15075917.0
6389.0,160471.0,Directed,15075918.0
6389.0,160471.0,Directed,15075919.0
6389.0,208166.0,Directed,15075911.0
6389.0,208166.0,Directed,15075912.0
6389.0,208166.0,Directed,15075913.0
208166.0,6389.0,Directed,29605719.0
208166.0,6389.0,Directed,29605720.0
208166.0,6389.0,Directed,29605721.0
208166.0,6389.0,Directed,29605722.0
208166.0,6389.0,Directed,29605723.0
208166.0,6389.0,Directed,29842954.0
208166.0,6389.0,Directed,29842955.0
6389.0,208166.0,Directed,19919194.0
6389.0,208166.0,Directed,19919200.0
6389.0,208166.0,Directed,19919206.0
6389.0,208166.0,Directed,19919212.0
6389.0,208166.0,Directed,19919218.0
6389.0,208166.0,Directed,19919225.0
6389.0,208166.0,Directed,19919231.0
208166.0,6389.0,Directed,29605711.0
6389.0,208166.0,Directed,19919193.0
208166.0,6389.0,Directed,29605701.0
6389.0,208166.0,Directed,19919192.0
208166.0,6389.0,Directed,29605726.0
6389.0,208166.0,Directed,19919191.0
208166.0,6389.0,Directed,29605706.0
6389.0,208166.0,Directed,19919190.0
208166.0,6389.0,Directed,29605716.0
6389.0,208166.0,Directed,19919195.0
6389.0,132169.0,Directed,15075905.0
6389.0,132169.0,Directed,15075906.0
6389.0,132169.0,Directed,15075907.0
6389.0,131756.0,Directed,15075890.0
6389.0,131756.0,Directed,15075891.0
6389.0,131756.0,Directed,15075892.0
6389.0,132377.0,Directed,15075884.0
6389.0,132377.0,Directed,15075885.0
6389.0,132377.0,Directed,15075886.0
132377.0,6389.0,Directed,29605694.0
132377.0,6389.0,Directed,29605695.0
132377.0,6389.0,Directed,29605696.0
132377.0,6389.0,Directed,29605697.0
132377.0,6389.0,Directed,29605698.0
6389.0,132377.0,Directed,19807736.0
6389.0,132377.0,Directed,19807744.0
6389.0,132377.0,Directed,19807752.0
6389.0,132377.0,Directed,19807760.0
6389.0,132377.0,Directed,19807768.0
132377.0,6389.0,Directed,29605666.0
6389.0,132377.0,Directed,19807746.0
132377.0,6389.0,Directed,29605676.0
6389.0,132377.0,Directed,19807740.0
132377.0,6389.0,Directed,29605671.0
6389.0,132377.0,Directed,19807741.0
132377.0,6389.0,Directed,29605691.0
6389.0,132377.0,Directed,19807739.0
132377.0,6389.0,Directed,29605681.0
6389.0,132377.0,Directed,19807742.0
132377.0,6389.0,Directed,29605661.0
6389.0,132377.0,Directed,19807743.0
132377.0,6389.0,Directed,29605686.0
6389.0,132377.0,Directed,19807745.0
98626.0,6389.0,Directed,29605739.0
98626.0,6389.0,Directed,29605740.0
98626.0,6389.0,Directed,29605742.0
98626.0,6389.0,Directed,29605743.0
98626.0,6389.0,Directed,29842958.0
98626.0,6389.0,Directed,29842959.0
6389.0,98626.0,Directed,22097798.0
6389.0,98626.0,Directed,22097828.0
6389.0,98626.0,Directed,22097843.0
6389.0,98626.0,Directed,22097858.0
6389.0,98626.0,Directed,22097978.0
6389.0,98626.0,Directed,22097993.0
98626.0,6389.0,Directed,29605779.0
98626.0,6389.0,Directed,29605780.0
98626.0,6389.0,Directed,29605782.0
98626.0,6389.0,Directed,29605783.0
98626.0,6389.0,Directed,29842976.0
98626.0,6389.0,Directed,29842977.0
6389.0,98626.0,Directed,22097797.0
6389.0,98626.0,Directed,22097827.0
6389.0,98626.0,Directed,22097842.0
6389.0,98626.0,Directed,22097857.0
6389.0,98626.0,Directed,22097977.0
6389.0,98626.0,Directed,22097992.0
98626.0,6389.0,Directed,29605769.0
98626.0,6389.0,Directed,29605770.0
98626.0,6389.0,Directed,29605772.0
98626.0,6389.0,Directed,29605773.0
98626.0,6389.0,Directed,29842956.0
98626.0,6389.0,Directed,29842957.0
6389.0,98626.0,Directed,22097796.0
6389.0,98626.0,Directed,22097826.0
6389.0,98626.0,Directed,22097841.0
6389.0,98626.0,Directed,22097856.0
6389.0,98626.0,Directed,22097979.0
6389.0,98626.0,Directed,22097994.0
98626.0,6389.0,Directed,1981934.0
98626.0,6389.0,Directed,1981926.0
98626.0,6389.0,Directed,29605774.0
98626.0,6389.0,Directed,29605775.0
98626.0,6389.0,Directed,29605777.0
98626.0,6389.0,Directed,29605778.0
98626.0,6389.0,Directed,29842974.0
98626.0,6389.0,Directed,29842975.0
6389.0,98626.0,Directed,1664608.0
6389.0,98626.0,Directed,2336484.0
6389.0,98626.0,Directed,22097795.0
6389.0,98626.0,Directed,22097825.0
6389.0,98626.0,Directed,22097840.0
6389.0,98626.0,Directed,22097855.0
6389.0,98626.0,Directed,22097976.0
6389.0,98626.0,Directed,22097991.0
208166.0,6389.0,Directed,29605714.0
208166.0,6389.0,Directed,29605715.0
208166.0,6389.0,Directed,29605717.0
208166.0,6389.0,Directed,29605718.0
208166.0,6389.0,Directed,29842948.0
208166.0,6389.0,Directed,29842949.0
6389.0,208166.0,Directed,19919232.0
6389.0,208166.0,Directed,19919226.0
6389.0,208166.0,Directed,19919219.0
6389.0,208166.0,Directed,19919213.0
6389.0,208166.0,Directed,19919207.0
6389.0,208166.0,Directed,19919201.0
208166.0,6389.0,Directed,29605709.0
208166.0,6389.0,Directed,29605710.0
208166.0,6389.0,Directed,29605712.0
208166.0,6389.0,Directed,29605713.0
208166.0,6389.0,Directed,29842946.0
208166.0,6389.0,Directed,29842947.0
6389.0,208166.0,Directed,19919230.0
6389.0,208166.0,Directed,19919224.0
6389.0,208166.0,Directed,19919217.0
6389.0,208166.0,Directed,19919211.0
6389.0,208166.0,Directed,19919205.0
6389.0,208166.0,Directed,19919199.0
208166.0,6389.0,Directed,29605699.0
208166.0,6389.0,Directed,29605700.0
208166.0,6389.0,Directed,29605702.0
208166.0,6389.0,Directed,29605703.0
208166.0,6389.0,Directed,29842950.0
208166.0,6389.0,Directed,29842951.0
6389.0,208166.0,Directed,19919223.0
6389.0,208166.0,Directed,19919216.0
6389.0,208166.0,Directed,19919210.0
6389.0,208166.0,Directed,19919204.0
6389.0,208166.0,Directed,19919198.0
6389.0,208166.0,Directed,19919229.0
208166.0,6389.0,Directed,29605724.0
208166.0,6389.0,Directed,29605725.0
208166.0,6389.0,Directed,29605727.0
208166.0,6389.0,Directed,29605728.0
208166.0,6389.0,Directed,29842952.0
208166.0,6389.0,Directed,29842953.0
6389.0,208166.0,Directed,19919228.0
6389.0,208166.0,Directed,19919222.0
6389.0,208166.0,Directed,19919215.0
6389.0,208166.0,Directed,19919209.0
6389.0,208166.0,Directed,19919203.0
6389.0,208166.0,Directed,19919197.0
208166.0,6389.0,Directed,1897694.0
208166.0,6389.0,Directed,1897696.0
208166.0,6389.0,Directed,29605704.0
208166.0,6389.0,Directed,29605705.0
208166.0,6389.0,Directed,29605707.0
208166.0,6389.0,Directed,29605708.0
208166.0,6389.0,Directed,29842944.0
208166.0,6389.0,Directed,29842945.0
6389.0,208166.0,Directed,19919227.0
6389.0,208166.0,Directed,19919220.0
6389.0,208166.0,Directed,19919214.0
6389.0,208166.0,Directed,19919208.0
6389.0,208166.0,Directed,19919202.0
6389.0,208166.0,Directed,19919196.0
6389.0,208166.0,Directed,2336485.0
6389.0,208166.0,Directed,1664609.0
132377.0,6389.0,Directed,29605664.0
132377.0,6389.0,Directed,29605665.0
132377.0,6389.0,Directed,29605667.0
132377.0,6389.0,Directed,29605668.0
6389.0,132377.0,Directed,19807738.0
6389.0,132377.0,Directed,19807754.0
6389.0,132377.0,Directed,19807762.0
6389.0,132377.0,Directed,19807770.0
132377.0,6389.0,Directed,29605684.0
132377.0,6389.0,Directed,29605685.0
132377.0,6389.0,Directed,29605687.0
132377.0,6389.0,Directed,29605688.0
6389.0,132377.0,Directed,19807737.0
6389.0,132377.0,Directed,19807753.0
6389.0,132377.0,Directed,19807761.0
6389.0,132377.0,Directed,19807769.0
132377.0,6389.0,Directed,29605659.0
132377.0,6389.0,Directed,29605660.0
132377.0,6389.0,Directed,29605662.0
132377.0,6389.0,Directed,29605663.0
6389.0,132377.0,Directed,19807735.0
6389.0,132377.0,Directed,19807751.0
6389.0,132377.0,Directed,19807759.0
6389.0,132377.0,Directed,19807767.0
132377.0,6389.0,Directed,29605679.0
132377.0,6389.0,Directed,29605680.0
132377.0,6389.0,Directed,29605682.0
132377.0,6389.0,Directed,29605683.0
6389.0,132377.0,Directed,19807734.0
6389.0,132377.0,Directed,19807750.0
6389.0,132377.0,Directed,19807758.0
6389.0,132377.0,Directed,19807766.0
132377.0,6389.0,Directed,29605669.0
132377.0,6389.0,Directed,29605670.0
132377.0,6389.0,Directed,29605672.0
132377.0,6389.0,Directed,29605673.0
6389.0,132377.0,Directed,19807765.0
6389.0,132377.0,Directed,19807757.0
6389.0,132377.0,Directed,19807749.0
6389.0,132377.0,Directed,19807733.0
132377.0,6389.0,Directed,29605674.0
132377.0,6389.0,Directed,29605675.0
132377.0,6389.0,Directed,29605677.0
132377.0,6389.0,Directed,29605678.0
6389.0,132377.0,Directed,19807732.0
6389.0,132377.0,Directed,19807748.0
6389.0,132377.0,Directed,19807756.0
6389.0,132377.0,Directed,19807764.0
132377.0,6389.0,Directed,1516190.0
