Source,Target,Type,Identity
6501.0,99665.0,Directed,15016386.0
6501.0,99665.0,Directed,15016385.0
6501.0,99665.0,Directed,15016387.0
99665.0,9892.0,Directed,23914659.0
6501.0,9892.0,Directed,14610135.0
9892.0,99665.0,Directed,20447209.0
6501.0,99665.0,Directed,15016383.0
6501.0,99665.0,Directed,15016382.0
6501.0,99665.0,Directed,15016384.0
99665.0,9892.0,Directed,23914653.0
9892.0,99665.0,Directed,482336.0
9892.0,99665.0,Directed,20447210.0
6501.0,204801.0,Directed,14610176.0
6501.0,204801.0,Directed,14610177.0
6501.0,204801.0,Directed,14610178.0
6501.0,204801.0,Directed,14610179.0
6501.0,204801.0,Directed,14610180.0
204801.0,6501.0,Directed,29592929.0
204801.0,6501.0,Directed,29592930.0
204801.0,6501.0,Directed,29592931.0
204801.0,6501.0,Directed,29592932.0
204801.0,6501.0,Directed,29592933.0
204801.0,6501.0,Directed,29592934.0
204801.0,6501.0,Directed,29593315.0
204801.0,6501.0,Directed,29593316.0
204801.0,6501.0,Directed,29593317.0
204801.0,6501.0,Directed,29593318.0
204801.0,6501.0,Directed,29593319.0
204801.0,6501.0,Directed,29593320.0
6501.0,204801.0,Directed,22116072.0
6501.0,204801.0,Directed,22116076.0
6501.0,204801.0,Directed,22116080.0
6501.0,204801.0,Directed,22116084.0
6501.0,204801.0,Directed,22116088.0
6501.0,204801.0,Directed,22116092.0
6501.0,62662.0,Directed,14610170.0
6501.0,62662.0,Directed,14610175.0
6501.0,62662.0,Directed,14610174.0
6501.0,62662.0,Directed,14610173.0
6501.0,62662.0,Directed,14610172.0
62662.0,6501.0,Directed,29593529.0
62662.0,6501.0,Directed,29593528.0
62662.0,6501.0,Directed,29593527.0
62662.0,6501.0,Directed,29593526.0
62662.0,6501.0,Directed,29593525.0
62662.0,6501.0,Directed,29593524.0
6501.0,62662.0,Directed,30782538.0
6501.0,62662.0,Directed,30782536.0
6501.0,62662.0,Directed,30782534.0
6501.0,62662.0,Directed,30782532.0
6501.0,62662.0,Directed,30782530.0
6501.0,62662.0,Directed,30782528.0
6501.0,138068.0,Directed,14610160.0
6501.0,138068.0,Directed,14610164.0
6501.0,138068.0,Directed,14610163.0
6501.0,138068.0,Directed,14610162.0
6501.0,138068.0,Directed,14610161.0
138068.0,6501.0,Directed,29592399.0
138068.0,6501.0,Directed,29592400.0
138068.0,6501.0,Directed,29592401.0
138068.0,6501.0,Directed,29592402.0
138068.0,6501.0,Directed,29592403.0
138068.0,6501.0,Directed,29592404.0
6501.0,138068.0,Directed,22495522.0
6501.0,138068.0,Directed,22495534.0
6501.0,138068.0,Directed,22495540.0
6501.0,138068.0,Directed,22495546.0
6501.0,138068.0,Directed,22495552.0
6501.0,138068.0,Directed,22495558.0
6501.0,188804.0,Directed,14610150.0
6501.0,188804.0,Directed,14610151.0
6501.0,188804.0,Directed,14610152.0
6501.0,188804.0,Directed,14610153.0
6501.0,188804.0,Directed,14610154.0
188804.0,6501.0,Directed,29593420.0
188804.0,6501.0,Directed,29593421.0
188804.0,6501.0,Directed,29593422.0
188804.0,6501.0,Directed,29593423.0
188804.0,6501.0,Directed,29593424.0
188804.0,6501.0,Directed,29593425.0
6501.0,188804.0,Directed,27466090.0
6501.0,188804.0,Directed,27466098.0
6501.0,188804.0,Directed,27466106.0
6501.0,188804.0,Directed,27466114.0
6501.0,188804.0,Directed,27466122.0
6501.0,188804.0,Directed,27466130.0
6501.0,188804.0,Directed,45837775.0
6501.0,9892.0,Directed,14610136.0
6501.0,9892.0,Directed,14610137.0
6501.0,9892.0,Directed,14610138.0
6501.0,9892.0,Directed,14610139.0
9892.0,6501.0,Directed,29593322.0
9892.0,6501.0,Directed,29593323.0
9892.0,6501.0,Directed,29593324.0
9892.0,6501.0,Directed,29593325.0
9892.0,6501.0,Directed,29593326.0
9892.0,6501.0,Directed,29593327.0
6501.0,9892.0,Directed,23914875.0
6501.0,9892.0,Directed,23914880.0
6501.0,9892.0,Directed,23914885.0
6501.0,9892.0,Directed,23914890.0
6501.0,9892.0,Directed,23914895.0
6501.0,9892.0,Directed,23914900.0
6501.0,9892.0,Directed,14610130.0
6501.0,9892.0,Directed,14610131.0
6501.0,9892.0,Directed,14610132.0
6501.0,9892.0,Directed,14610133.0
6501.0,9892.0,Directed,14610134.0
9892.0,6501.0,Directed,29593123.0
9892.0,6501.0,Directed,29593124.0
9892.0,6501.0,Directed,29593125.0
9892.0,6501.0,Directed,29593126.0
9892.0,6501.0,Directed,29593127.0
9892.0,6501.0,Directed,29593128.0
6501.0,9892.0,Directed,20931955.0
6501.0,9892.0,Directed,20931966.0
6501.0,9892.0,Directed,20931977.0
6501.0,9892.0,Directed,20931988.0
6501.0,9892.0,Directed,20931999.0
6501.0,9892.0,Directed,20932010.0
6501.0,80482.0,Directed,14610120.0
6501.0,80482.0,Directed,14610124.0
6501.0,80482.0,Directed,14610123.0
6501.0,80482.0,Directed,14610122.0
6501.0,80482.0,Directed,14610121.0
80482.0,6501.0,Directed,29593510.0
80482.0,6501.0,Directed,29593511.0
80482.0,6501.0,Directed,29593512.0
80482.0,6501.0,Directed,29593513.0
80482.0,6501.0,Directed,29593514.0
80482.0,6501.0,Directed,29593515.0
6501.0,80482.0,Directed,28688645.0
6501.0,80482.0,Directed,28688648.0
6501.0,80482.0,Directed,28688651.0
6501.0,80482.0,Directed,28688654.0
6501.0,80482.0,Directed,28688657.0
6501.0,80482.0,Directed,28688660.0
6501.0,89243.0,Directed,14610115.0
6501.0,89243.0,Directed,14610119.0
6501.0,89243.0,Directed,14610118.0
6501.0,89243.0,Directed,14610117.0
6501.0,89243.0,Directed,14610116.0
89243.0,6501.0,Directed,29592455.0
89243.0,6501.0,Directed,29592456.0
89243.0,6501.0,Directed,29592457.0
89243.0,6501.0,Directed,29592458.0
89243.0,6501.0,Directed,29592459.0
89243.0,6501.0,Directed,29592460.0
6501.0,89243.0,Directed,23802284.0
6501.0,89243.0,Directed,23802292.0
6501.0,89243.0,Directed,23802300.0
6501.0,89243.0,Directed,23802308.0
6501.0,89243.0,Directed,23802316.0
6501.0,89243.0,Directed,23802324.0
6501.0,98686.0,Directed,14610105.0
6501.0,98686.0,Directed,14610106.0
6501.0,98686.0,Directed,14610107.0
6501.0,98686.0,Directed,14610108.0
6501.0,98686.0,Directed,14610109.0
98686.0,6501.0,Directed,29592909.0
98686.0,6501.0,Directed,29592910.0
98686.0,6501.0,Directed,29592911.0
98686.0,6501.0,Directed,29592912.0
98686.0,6501.0,Directed,29592913.0
98686.0,6501.0,Directed,29592914.0
6501.0,98686.0,Directed,27873092.0
6501.0,98686.0,Directed,27873106.0
6501.0,98686.0,Directed,27873120.0
6501.0,98686.0,Directed,27873134.0
6501.0,98686.0,Directed,27873148.0
6501.0,98686.0,Directed,27873162.0
6501.0,69415.0,Directed,14610095.0
6501.0,69415.0,Directed,14610096.0
6501.0,69415.0,Directed,14610097.0
6501.0,69415.0,Directed,14610098.0
6501.0,69415.0,Directed,14610099.0
69415.0,179402.0,Directed,35550407.0
6501.0,179402.0,Directed,14610090.0
6501.0,179402.0,Directed,14610091.0
6501.0,179402.0,Directed,14610092.0
6501.0,179402.0,Directed,14610093.0
6501.0,179402.0,Directed,14610094.0
6501.0,138822.0,Directed,14610085.0
6501.0,138822.0,Directed,14610086.0
6501.0,138822.0,Directed,14610087.0
6501.0,138822.0,Directed,14610088.0
6501.0,138822.0,Directed,14610089.0
138822.0,6501.0,Directed,29592202.0
138822.0,6501.0,Directed,29592203.0
138822.0,6501.0,Directed,29592204.0
138822.0,6501.0,Directed,29592205.0
138822.0,6501.0,Directed,29592206.0
138822.0,6501.0,Directed,29592207.0
6501.0,138822.0,Directed,21392006.0
6501.0,138822.0,Directed,21392017.0
6501.0,138822.0,Directed,21392028.0
6501.0,138822.0,Directed,21392039.0
6501.0,138822.0,Directed,21392050.0
6501.0,138822.0,Directed,21392061.0
6501.0,5382399.0,Directed,33895746.0
6501.0,5382399.0,Directed,33895763.0
6501.0,5382399.0,Directed,33895762.0
6501.0,5382399.0,Directed,33895761.0
6501.0,5382399.0,Directed,33895760.0
6501.0,5382399.0,Directed,33895759.0
6501.0,5382399.0,Directed,33895758.0
6501.0,5382399.0,Directed,33895756.0
6501.0,5382399.0,Directed,33895755.0
6501.0,5382399.0,Directed,33895753.0
6501.0,5382399.0,Directed,33895752.0
6501.0,5382399.0,Directed,33895751.0
6501.0,5382399.0,Directed,33895750.0
6501.0,5382399.0,Directed,33895749.0
6501.0,5382399.0,Directed,33895748.0
5382399.0,6501.0,Directed,33895735.0
5382399.0,6501.0,Directed,33895743.0
5382399.0,6501.0,Directed,33895741.0
5389545.0,5382399.0,Directed,34257158.0
6501.0,5389545.0,Directed,34257177.0
6501.0,5389545.0,Directed,34257171.0
5389545.0,5382399.0,Directed,34257152.0
5389545.0,5382399.0,Directed,34257141.0
5389543.0,5382399.0,Directed,34257094.0
6501.0,5389543.0,Directed,34257128.0
6501.0,5389543.0,Directed,34257125.0
5389543.0,5382399.0,Directed,34257104.0
5389543.0,5382399.0,Directed,34257109.0
5389543.0,5382399.0,Directed,34257114.0
5382405.0,5382399.0,Directed,33895849.0
6501.0,5382405.0,Directed,33895862.0
6501.0,5382405.0,Directed,33895856.0
5382405.0,5382399.0,Directed,33895852.0
5382405.0,5382399.0,Directed,33895840.0
5382405.0,5382399.0,Directed,33895846.0
5382403.0,5382399.0,Directed,33895805.0
6501.0,5382403.0,Directed,33895823.0
6501.0,5382403.0,Directed,33895817.0
5382403.0,5382399.0,Directed,33895810.0
5382403.0,5382399.0,Directed,33895812.0
5382403.0,5382399.0,Directed,33895814.0
5382401.0,5382399.0,Directed,33895774.0
6501.0,5382401.0,Directed,33895788.0
6501.0,5382401.0,Directed,33895782.0
5382401.0,5382399.0,Directed,33895775.0
5382401.0,5382399.0,Directed,33895779.0
5382401.0,5382399.0,Directed,33895777.0
5389545.0,5382399.0,Directed,34257164.0
5389547.0,5382399.0,Directed,34257192.0
6501.0,5389547.0,Directed,34257232.0
6501.0,5389547.0,Directed,34257226.0
5389547.0,5382399.0,Directed,34257204.0
5389547.0,5382399.0,Directed,34257211.0
5389547.0,5382399.0,Directed,34257218.0
5389551.0,5382399.0,Directed,34257323.0
6501.0,5389551.0,Directed,34257356.0
6501.0,5389551.0,Directed,34257359.0
5389551.0,5382399.0,Directed,34257341.0
5389551.0,5382399.0,Directed,34257332.0
5389551.0,5382399.0,Directed,34257307.0
5389615.0,5382399.0,Directed,34258836.0
6501.0,5389615.0,Directed,34258889.0
6501.0,5389615.0,Directed,34258892.0
5389615.0,5382399.0,Directed,34258853.0
5389615.0,5382399.0,Directed,34258863.0
5389615.0,5382399.0,Directed,34258873.0
5390051.0,5382399.0,Directed,34279212.0
6501.0,5390051.0,Directed,34279283.0
6501.0,5390051.0,Directed,34279289.0
5390051.0,5382399.0,Directed,34279258.0
5390051.0,5382399.0,Directed,34279232.0
5390051.0,5382399.0,Directed,34279245.0
6501.0,5382399.0,Directed,46251004.0
6501.0,5382401.0,Directed,33895797.0
6501.0,5382401.0,Directed,33895796.0
6501.0,5382401.0,Directed,33895795.0
6501.0,5382401.0,Directed,33895794.0
6501.0,5382401.0,Directed,33895793.0
6501.0,5382401.0,Directed,33895792.0
6501.0,5382401.0,Directed,33895790.0
6501.0,5382401.0,Directed,33895789.0
6501.0,5382401.0,Directed,33895787.0
6501.0,5382401.0,Directed,33895786.0
6501.0,5382401.0,Directed,33895785.0
6501.0,5382401.0,Directed,33895784.0
6501.0,5382401.0,Directed,33895783.0
5382401.0,6501.0,Directed,33895764.0
5382401.0,6501.0,Directed,33895772.0
5382401.0,6501.0,Directed,33895773.0
5389545.0,5382401.0,Directed,34257159.0
5389545.0,5382401.0,Directed,34257153.0
5389545.0,5382401.0,Directed,34257142.0
