Id,properties.name,properties._n_name,properties.n_name,modularity_class
180572,,BIG CALVARIA|BIG CRANIUM|BIG HEAD|BIG SKULL|INCREASED SIZE OF HEAD|LARGE CALVARIA|LARGE CRANIUM|LARGE SKULL|INCREASED SIZE OF CRANIUM|INCREASED SIZE OF SKULL|LARGE HEAD|LARGE HEAD CIRCUMFERENCE|MACROCRANIA|MEGACEPHALY|MACROCEPHALY,"['BIG CALVARIA', 'BIG CRANIUM', 'BIG HEAD', 'BIG SKULL', 'INCREASED SIZE OF HEAD', 'LARGE CALVARIA', 'LARGE CRANIUM', 'LARGE SKULL', 'INCREASED SIZE OF CRANIUM', 'INCREASED SIZE OF SKULL', 'LARGE HEAD', 'LARGE HEAD CIRCUMFERENCE', 'MACROCRANIA', 'MEGACEPHALY', 'MACROCEPHALY']",38
105380,,FATIGUE|TIRED|TIREDNESS|MALAISE,"['FATIGUE', 'TIRED', 'TIREDNESS', 'MALAISE']",40
79266,,ABNORMAL HEART RATE|ABNORMALITY OF CARDIAC CONDUCTION|ARRHYTHMIAS|CARDIAC ARRHYTHMIA|CARDIAC ARRHYTHMIAS|CARDIAC CONDUCTION ABNORMALITIES|CARDIAC CONDUCTION DEFECTS|CARDIAC RHYTHM DISTURBANCES|HEART RHYTHM DISORDERS|IRREGULAR HEART BEAT|IRREGULAR HEARTBEAT|ARRHYTHMIA,"['ABNORMAL HEART RATE', 'ABNORMALITY OF CARDIAC CONDUCTION', 'ARRHYTHMIAS', 'CARDIAC ARRHYTHMIA', 'CARDIAC ARRHYTHMIAS', 'CARDIAC CONDUCTION ABNORMALITIES', 'CARDIAC CONDUCTION DEFECTS', 'CARDIAC RHYTHM DISTURBANCES', 'HEART RHYTHM DISORDERS', 'IRREGULAR HEART BEAT', 'IRREGULAR HEARTBEAT', 'ARRHYTHMIA']",40
166466,,ABSENT/HYPOPLASTIC CORPUS CALLOSUM|AGENESIS/HYPOPLASTIC CORPUS CALLOSUM|COMPLETE OR PARTIAL ABSENCE OF THE CORPUS CALLOSUM|HYPOPLASIA OR ABSENCE OF THE CORPUS CALLOSUM|HYPOPLASTIC OR ABSENT CORPUS CALLOSUM|APLASIA/HYPOPLASIA OF THE CORPUS CALLOSUM,"['ABSENT/HYPOPLASTIC CORPUS CALLOSUM', 'AGENESIS/HYPOPLASTIC CORPUS CALLOSUM', 'COMPLETE OR PARTIAL ABSENCE OF THE CORPUS CALLOSUM', 'HYPOPLASIA OR ABSENCE OF THE CORPUS CALLOSUM', 'HYPOPLASTIC OR ABSENT CORPUS CALLOSUM', 'APLASIA/HYPOPLASIA OF THE CORPUS CALLOSUM']",40
81923,,DISTURBANCES OF CONSCIOUSNESS|LOWERED CONSCIOUSNESS|REDUCED CONSCIOUSNESS/CONFUSION,"['DISTURBANCES OF CONSCIOUSNESS', 'LOWERED CONSCIOUSNESS', 'REDUCED CONSCIOUSNESS/CONFUSION']",3
160471,,ABNORMAL PATTERN OF RESPIRATION|ABNORMAL RESPIRATORY PATTERNS|UNUSUAL BREATHING PATTERNS,"['ABNORMAL PATTERN OF RESPIRATION', 'ABNORMAL RESPIRATORY PATTERNS', 'UNUSUAL BREATHING PATTERNS']",40
132169,,DIARRHEA|DIARRHOEA|WATERY STOOL,"['DIARRHEA', 'DIARRHOEA', 'WATERY STOOL']",40
131756,,RASH|EXANTHEM|SKIN RASH,"['RASH', 'EXANTHEM', 'SKIN RASH']",40
103944,,CEREBRAL PARALYSIS|CP|CEREBRAL PALSY,"['CEREBRAL PARALYSIS', 'CP', 'CEREBRAL PALSY']",31
127676,,FEEDING DIFFICULTIES|FEEDING PROBLEMS|POOR FEEDING,"['FEEDING DIFFICULTIES', 'FEEDING PROBLEMS', 'POOR FEEDING']",12
