Id,modularity_class,properties.name,properties._n_name,properties.n_name
14982,0,Opsoclonus-myoclonus syndrome,,
14981,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","INFANTS MYOCLONIC ENCEPHALOPATHY|INFANTS MYOCLONIC ENCEPHALOPATHIES|KINSBOURNE SYNDROME|MYOCLONIC ENCEPHALOPATHY OF INFANTS|MYOCLONUS, OPSOCLONUS|OPSOCLONUS MYOCLONUS, OPSOCLONUS-MYOCLONUS SYNDROME|ATAXO-OPSO-MYOCLONUS SYNDROME|DANCING EYE SYNDROME|DANCING EYE-DANCING FEET SYNDROME|KINSBOURNE SYNDROME|OMA SYNDROME|OMS|OPSOCLONUS MYOCLONUS SYNDROME|OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME|PARANEOPLASTIC OPSOCLONUS-MYOCLONUS|PARANEOPLASTIC OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME|POMA SYNDROME, SÍNDROME DE OPSOCLONO-MIOCLONO, OPSOCLONUS-MYOCLONUS SYNDROME|DANCING EYES DANCING FEET SYNDROME|DANCING EYES, DANCING FEET SYNDROME|DANCING EYES-DANCING FEET SYNDROME|INFANTILE POLYMYOCLONUS|KINSBOURNE SYNDROME|OPSOCLONUS MYOCLONUS ATAXIA|OPSOCLONUS MYOCLONUS SYNDROME, OPSOCLONUS-MYOCLONUS SYNDROME, ATAXO-OPSO-MYOCLONUS SYNDROME|DANCING EYE SYNDROME|DANCING EYE-DANCING FEET SYNDROME|KINSBOURNE SYNDROME|OMA SYNDROME|OMS|OPSOCLONUS MYOCLONUS SYNDROME|OPSOCLONUS-MYOCLONUS SYNDROME|OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME|PARANEOPLASTIC OPSOCLONUS-MYOCLONUS|PARANEOPLASTIC OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME|POMA SYNDROME, DANCING EYES DANCING FEET SYNDROME|DANCING EYES, DANCING FEET SYNDROME|DANCING EYES-DANCING FEET SYNDROME|INFANTS MYOCLONIC ENCEPHALOPATHIES|INFANTS MYOCLONIC ENCEPHALOPATHY|KINSBOURNE SYNDROME|MYOCLONIC ENCEPHALOPATHY OF INFANTS|MYOCLONUS, OPSOCLONUS|OPSOCLONUS MYOCLONUS|OPSOCLONUS MYOCLONUS ATAXIA|OPSOCLONUS MYOCLONUS SYNDROME|PARANEOPLASTIC OPSOCLONUS MYOCLONUS ATAXIA|PARANEOPLASTIC OPSOCLONUS-MYOCLONUS ATAXIA|OPSOCLONUS-MYOCLONUS SYNDROME, ATAXO-OPSO-MYOCLONUS SYNDROME|DANCING EYE SYNDROME|DANCING EYE-DANCING FEET SYNDROME|KINSBOURNE SYNDROME|OMA SYNDROME|OMS|OPSOCLONUS MYOCLONUS SYNDROME|OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME|PARANEOPLASTIC OPSOCLONUS-MYOCLONUS|PARANEOPLASTIC OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME|POMA SYNDROME|OPSOCLONUS-MYOCLONUS SYNDROME, OPSOCLONUS MYOCLONUS SYNDROME|OPSOCLONUS-MYOCLONUS SYNDROME, OPSOCLONUS-MYOCLONUS SYNDROME|DANCING EYE SYNDROME (TERM USUALLY USED IN UK)|DANCING EYES-DANCING FEET|KINSBOURNE SYNDROME|MYOCLONIC ENCEPHALOPATHY, KINSBOURNE TYPE|OMAS|OMS|OPSOCLONIC ENCEPHALOPATHY, COME/ROM|OMS|OTITIS MEDIA, CHRONIC/RECURRENT|OTITIS MEDIA, SUSCEPTIBILITY TO, OTITIS MEDIA, SUSCEPTIBILITY TO|COME/ROM|OMS|OTITIS MEDIA, CHRONIC/RECURRENT, COME/ROM|OMS","['INFANTS MYOCLONIC ENCEPHALOPATHY', 'INFANTS MYOCLONIC ENCEPHALOPATHIES', 'KINSBOURNE SYNDROME', 'MYOCLONIC ENCEPHALOPATHY OF INFANTS', 'MYOCLONUS, OPSOCLONUS', 'OPSOCLONUS MYOCLONUS'], ['OPSOCLONUS-MYOCLONUS SYNDROME', 'ATAXO-OPSO-MYOCLONUS SYNDROME', 'DANCING EYE SYNDROME', 'DANCING EYE-DANCING FEET SYNDROME', 'KINSBOURNE SYNDROME', 'OMA SYNDROME', 'OMS', 'OPSOCLONUS MYOCLONUS SYNDROME', 'OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME', 'PARANEOPLASTIC OPSOCLONUS-MYOCLONUS', 'PARANEOPLASTIC OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME', 'POMA SYNDROME'], SÍNDROME DE OPSOCLONO-MIOCLONO, ['OPSOCLONUS-MYOCLONUS SYNDROME', 'DANCING EYES DANCING FEET SYNDROME', 'DANCING EYES, DANCING FEET SYNDROME', 'DANCING EYES-DANCING FEET SYNDROME', 'INFANTILE POLYMYOCLONUS', 'KINSBOURNE SYNDROME', 'OPSOCLONUS MYOCLONUS ATAXIA', 'OPSOCLONUS MYOCLONUS SYNDROME'], OPSOCLONUS-MYOCLONUS SYNDROME, ['ATAXO-OPSO-MYOCLONUS SYNDROME', 'DANCING EYE SYNDROME', 'DANCING EYE-DANCING FEET SYNDROME', 'KINSBOURNE SYNDROME', 'OMA SYNDROME', 'OMS', 'OPSOCLONUS MYOCLONUS SYNDROME', 'OPSOCLONUS-MYOCLONUS SYNDROME', 'OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME', 'PARANEOPLASTIC OPSOCLONUS-MYOCLONUS', 'PARANEOPLASTIC OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME', 'POMA SYNDROME'], ['DANCING EYES DANCING FEET SYNDROME', 'DANCING EYES, DANCING FEET SYNDROME', 'DANCING EYES-DANCING FEET SYNDROME', 'INFANTS MYOCLONIC ENCEPHALOPATHIES', 'INFANTS MYOCLONIC ENCEPHALOPATHY', 'KINSBOURNE SYNDROME', 'MYOCLONIC ENCEPHALOPATHY OF INFANTS', 'MYOCLONUS, OPSOCLONUS', 'OPSOCLONUS MYOCLONUS', 'OPSOCLONUS MYOCLONUS ATAXIA', 'OPSOCLONUS MYOCLONUS SYNDROME', 'PARANEOPLASTIC OPSOCLONUS MYOCLONUS ATAXIA', 'PARANEOPLASTIC OPSOCLONUS-MYOCLONUS ATAXIA', 'OPSOCLONUS-MYOCLONUS SYNDROME'], ['ATAXO-OPSO-MYOCLONUS SYNDROME', 'DANCING EYE SYNDROME', 'DANCING EYE-DANCING FEET SYNDROME', 'KINSBOURNE SYNDROME', 'OMA SYNDROME', 'OMS', 'OPSOCLONUS MYOCLONUS SYNDROME', 'OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME', 'PARANEOPLASTIC OPSOCLONUS-MYOCLONUS', 'PARANEOPLASTIC OPSOCLONUS-MYOCLONUS-ATAXIA SYNDROME', 'POMA SYNDROME', 'OPSOCLONUS-MYOCLONUS SYNDROME'], ['OPSOCLONUS MYOCLONUS SYNDROME', 'OPSOCLONUS-MYOCLONUS SYNDROME'], ['OPSOCLONUS-MYOCLONUS SYNDROME', 'DANCING EYE SYNDROME (TERM USUALLY USED IN UK)', 'DANCING EYES-DANCING FEET', 'KINSBOURNE SYNDROME', 'MYOCLONIC ENCEPHALOPATHY, KINSBOURNE TYPE', 'OMAS', 'OMS', 'OPSOCLONIC ENCEPHALOPATHY'], ['COME/ROM', 'OMS', 'OTITIS MEDIA, CHRONIC/RECURRENT', 'OTITIS MEDIA, SUSCEPTIBILITY TO'], ['OTITIS MEDIA, SUSCEPTIBILITY TO', 'COME/ROM', 'OMS', 'OTITIS MEDIA, CHRONIC/RECURRENT'], ['COME/ROM', 'OMS']"
9893,1,Locked-in syndrome,,
71975,1,,EXCESSIVE PRODUCTION OF SALIVA|EXCESSIVE SALIVATION|HYPERSALIVATION|MOUTH WATERING|OVERSALIVATION|PTYALISM|WATERY MOUTH,"['EXCESSIVE PRODUCTION OF SALIVA', 'EXCESSIVE SALIVATION', 'HYPERSALIVATION', 'MOUTH WATERING', 'OVERSALIVATION', 'PTYALISM', 'WATERY MOUTH']"
175819,1,,"FREQUENT RESPIRATORY INFECTIONS|MULTIPLE RESPIRATORY INFECTIONS|RECURRENT RESPIRATORY INFECTIONS|RESPIRATORY INFECTIONS, RECURRENT|SUSCEPTIBILITY TO RESPIRATORY INFECTIONS","['FREQUENT RESPIRATORY INFECTIONS', 'MULTIPLE RESPIRATORY INFECTIONS', 'RECURRENT RESPIRATORY INFECTIONS', 'RESPIRATORY INFECTIONS, RECURRENT', 'SUSCEPTIBILITY TO RESPIRATORY INFECTIONS']"
129196,1,,ABNORMALITY OF SIGHT|ABNORMALITY OF VISION|VISION ISSUE,"['ABNORMALITY OF SIGHT', 'ABNORMALITY OF VISION', 'VISION ISSUE']"
69415,1,,ABNORMAL EYE|ABNORMALITY OF THE EYE|EYE DISEASE,"['ABNORMAL EYE', 'ABNORMALITY OF THE EYE', 'EYE DISEASE']"
7746,1,X-linked adrenoleukodystrophy,,
91006,1,,PROGRESSIVE HEARING LOSS|PROGRESSIVE HEARING IMPAIRMENT,"['PROGRESSIVE HEARING LOSS', 'PROGRESSIVE HEARING IMPAIRMENT']"
83080,1,,CLUMSINESS,['CLUMSINESS']
