CompoundName	TargetGene	PubchemCID	InKey	ClinicalPhase	MOA	DiseaseArea	Indication
(R)-(-)-apomorphine	ADRA2A	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	ADRA2B	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	ADRA2C	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	CALY	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	DRD1	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	DRD2	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	DRD3	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	DRD4	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	DRD5	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	HTR1A	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	HTR1B	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	HTR1D	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	HTR2A	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	HTR2B	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	HTR2C	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-apomorphine	HTR5A	6005	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Launched	dopamine receptor agonist	neurology/psychiatry	Parkinson's Disease
(R)-(-)-rolipram	PDE4A	448055	HJORMJIFDVBMOB-LBPRGKRZSA-N	Phase 1	phosphodiesterase inhibitor	NA	NA
(R)-(-)-rolipram	PDE4B	448055	HJORMJIFDVBMOB-LBPRGKRZSA-N	Phase 1	phosphodiesterase inhibitor	NA	NA
(R)-(-)-rolipram	PDE4C	448055	HJORMJIFDVBMOB-LBPRGKRZSA-N	Phase 1	phosphodiesterase inhibitor	NA	NA
(R)-(-)-rolipram	PDE4D	448055	HJORMJIFDVBMOB-LBPRGKRZSA-N	Phase 1	phosphodiesterase inhibitor	NA	NA
(R)-(-)-rolipram	PDE5A	448055	HJORMJIFDVBMOB-LBPRGKRZSA-N	Phase 1	phosphodiesterase inhibitor	NA	NA
(R)-baclofen	GABBR1	6918881	KPYSYYIEGFHWSV-QMMMGPOBSA-N	Phase 3	benzodiazepine receptor agonist	NA	NA
(R)-baclofen	GABBR2	6918881	KPYSYYIEGFHWSV-QMMMGPOBSA-N	Phase 3	benzodiazepine receptor agonist	NA	NA
(S)-(+)-rolipram	PDE4B	158758	HJORMJIFDVBMOB-GFCCVEGCSA-N	Phase 1	phosphodiesterase inhibitor	NA	NA
(S)-(+)-rolipram	PDE4D	158758	HJORMJIFDVBMOB-GFCCVEGCSA-N	Phase 1	phosphodiesterase inhibitor	NA	NA
"[sar9,met(o2)11]-substance-p"	TACR1	163829	OUPXSLGGCPUZJJ-SARDKLJWSA-N	Preclinical	tachykinin antagonist	NA	NA
A-1070722	GSK3A	49830684	VQPBIJGXSXEOCU-UHFFFAOYSA-N	Preclinical	glycogen synthase kinase inhibitor	NA	NA
A-1070722	GSK3B	49830684	VQPBIJGXSXEOCU-UHFFFAOYSA-N	Preclinical	glycogen synthase kinase inhibitor	NA	NA
A-1120	RBP4	25138295	"InChI=1S/C20H19F3N2O3/c21-20(22,23)16-7-3-1-5-14(16)13-9-11-25(12-10-13)19(28)24-17-8-4-2-6-15(17)18(26)27/h1-8,13H,9-12H2,(H,24,28)(H,26,27)"	Preclinical	retinoid receptor ligand	NA	NA
A-317491	P2RX3	9829395	VQGBOYBIENNKMI-LJAQVGFWSA-N	Preclinical	purinergic receptor antagonist	NA	NA
A-366	EHMT1	76285486	BKCDJTRMYWSXMC-UHFFFAOYSA-N	Preclinical	histone lysine methyltransferase inhibitor	NA	NA
A-366	EHMT2	76285486	BKCDJTRMYWSXMC-UHFFFAOYSA-N	Preclinical	histone lysine methyltransferase inhibitor	NA	NA
A-412997	DRD4	10425450	JFCDMGGMCUKHST-UHFFFAOYSA-N	Preclinical	dopamine receptor agonist	NA	NA
A-438079	P2RX7	11673921	MMPAULQSJLVKHP-UHFFFAOYSA-N	Preclinical	purinergic receptor antagonist	NA	NA
A-582941	CHRNA7	44190553	GTMRUYCIJSNXGB-GASCZTMLSA-N	Preclinical	nicotinic receptor agonist	NA	NA
A-61603	ADRA1A	10804826	OQFCXJDXHCDLHX-NSHDSACASA-N	Preclinical	adrenergic receptor agonist	NA	NA
A-61603	ADRA1B	10804826	OQFCXJDXHCDLHX-NSHDSACASA-N	Preclinical	adrenergic receptor agonist	NA	NA
A-61603	ADRA1D	10804826	OQFCXJDXHCDLHX-NSHDSACASA-N	Preclinical	adrenergic receptor agonist	NA	NA
A-674563	AKT1	11314340	BPNUQXPIQBZCMR-IBGZPJMESA-N	Preclinical	AKT inhibitor	NA	NA
A-674563	PKIA	11314340	BPNUQXPIQBZCMR-IBGZPJMESA-N	Preclinical	AKT inhibitor	NA	NA
A-674563	PRKACA	11314340	BPNUQXPIQBZCMR-IBGZPJMESA-N	Preclinical	AKT inhibitor	NA	NA
A-784168	TRPV1	11420211	SDUAWRFBHRAFBM-UHFFFAOYSA-N	Preclinical	transient receptor potential channel antagonist	NA	NA
A-803467	SCN10A	16038374	VHKBTPQDHDSBSP-UHFFFAOYSA-N	Preclinical	sodium channel blocker	NA	NA
