cas,cluster,smiles,inchikey
129299-90-7,1,Cl.Cc4ncnc4C[C@H]3CCc2c(C)c1ccccc1n2C3=O,NA
NOCAS_48522,1,FC(F)(F)C(=O)O.CCN(CC)C(=O)c1cc(c(cc1N(CC)CCN(C)C)N2CCC(CC2)c3ccccc3)S(=O)(=O)Cc4ccccc4,XDSUEKSKAPHPTN-UHFFFAOYSA-N
33414-30-1,1,CN1CCN(CC1)CCC(=O)N2c4ccccc4Sc3ccc(cc23)C(F)(F)F,DOUQJBPSTIKRPH-UHFFFAOYSA-N
84-02-6,1,O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.CN1CCN(CC1)CCCN2c4ccccc4Sc3ccc(Cl)cc23,DSKIOWHQLUWFLG-SPIKMXEPSA-N
289716-94-5,1,Clc2ccc(Oc1ccc(F)cc1CNC)cc2Cl,FQEBOQLYHASAOY-UHFFFAOYSA-N
303-49-1,1,CN(C)CCCN2c3ccccc3CCc1ccc(Cl)cc12,GDLIGKIOYRNHDA-UHFFFAOYSA-N
75859-03-9,1,Cl.Cl.C[C@H]4CN(CCCn3c1ccccc1c2ccccc23)C[C@@H](C)N4,ZWHRZGHGYMUSRM-VWDRLOGHSA-N
4789-68-8,1,O=C(O)/C=C\C(=O)O.CN1CCN(CC1)C2Cc4ccccc4Sc3ccc(Cl)cc23,GWKBZIADWSOIQV-BTJKTKAUSA-N
29216-28-2,1,c3ccc4Sc5ccccc5N(CC2CN1CCC2CC1)c4c3,HOKDBMAJZXIPGC-UHFFFAOYSA-N
549-18-8,1,Cl.CN(C)CC\C=C1\c3ccccc3CCc2ccccc12,KFYRPLNVJVHZGT-UHFFFAOYSA-N
742693-38-5,1,FC(F)(F)c3cccc(C(=O)N[C@H]([C@@H]1CCCCN1)c2ccccc2)c3Cl,MEZRZVWPLXVLSO-WMZOPIPTSA-N
1553-34-0,1,Cl.CN1CCCC(C1)CC2c4ccccc4Sc3ccccc23,RSXZRFHNNTTWCB-UHFFFAOYSA-N
14587-50-9,1,OC(C(C)N(C)CCOC(c1ccccc1)c2ccccc2)c3ccccc3,OEHKWMHRFWWMQK-UHFFFAOYSA-N
69-23-8,1,FC(F)(F)c2cc3N(CCCN1CCN(CCO)CC1)c4ccccc4Sc3cc2,PLDUPXSUYLZYBN-UHFFFAOYSA-N
58-33-3,1,Cl.CN(C)C(C)CN1c3ccccc3Sc2ccccc12,XXPDBLUZJRXNNZ-UHFFFAOYSA-N
89419-40-9,1,Clc5ccc6CCc1ccccc1N(CCCN2CCC4(CC2)C(=O)NC3CCCCN34)c6c5,PXUIZULXJVRBPC-UHFFFAOYSA-N
2347-80-0,1,CS(=O)(=O)O.CS(=O)(=O)O.CN(C)S(=O)(=O)c2cc3N(CCCN1CCN(C)CC1)c4ccccc4Sc3cc2,QPMDKXBBAVQDCB-UHFFFAOYSA-N
53179-11-6,1,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,RDOIQAHITMMDAJ-UHFFFAOYSA-N
58-39-9,1,OCCN1CCN(CC1)CCCN2c4ccccc4Sc3ccc(Cl)cc23,RGCVKNLCSQQDEP-UHFFFAOYSA-N
20229-30-5,1,CN1CCN(CC1)C2Cc4ccccc4Sc3ccc(SC)cc23,RLJFTICUTYVZDG-UHFFFAOYSA-N
54910-89-3,1,FC(F)(F)c2ccc(OC(CCNC)c1ccccc1)cc2,RTHCYVBBDHJXIQ-UHFFFAOYSA-N
79559-97-0,1,Cl.Clc1ccc(cc1Cl)[C@@H]3CC[C@H](NC)c2ccccc23,BLFQGGGGFNSJKA-XHXSRVRCSA-N
55096-75-8,1,Cl.C[C@@H](NC)CC(c1ccccc1)(c2ccccc2)[C@@H](OC(C)=O)CC,QOWPUUFVFLIYRR-JKSHRDEXSA-N
848-53-3,1,Clc1ccc(cc1)C(c2ccccc2)N3CCCN(C)CC3,WEUCDJCFJHYFRL-UHFFFAOYSA-N
113-59-7,1,CN(C)CC\C=C1/c3ccccc3Sc2ccc(Cl)cc12,WSPOMRSOLSGNFJ-VGOFMYFVSA-N
1098-60-8,1,Cl.FC(F)(F)c1cc2N(CCCN(C)C)c3ccccc3Sc2cc1,FTNWXGFYRHWUKG-UHFFFAOYSA-N
14976-57-9,1,CN3CCC[C@@H]3CCO[C@](C)(c1ccccc1)c2ccc(Cl)cc2.O=C(O)/C=C/C(=O)O,PMGQWSIVQFOFOQ-YKVZVUFRSA-N
481-49-2,1,COc8ccc1cc8Oc7ccc(C[C@H]4c5c(Oc3cc2c(CCN(C)[C@@H]2C1)cc3OC)c6OCOc6cc5CCN4C)cc7,YVPXVXANRNDGTA-WDYNHAJCSA-N
136434-34-9,1,Cl.CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,BFFSMCNJSOPUAY-LMOVPXPDSA-N
145742-28-5,1,FC(F)(F)Oc3cc(CN[C@H]1CCCN[C@H]1c2ccccc2)c(OC)cc3,ZIWFCOIGUNPHPM-HKUYNNGSSA-N
50-53-3,1,CN(C)CCCN1c3ccccc3Sc2ccc(Cl)cc12,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
1244-76-4,1,Cl.Clc1ccc(cc1)C(c2ccccc2)N3CCN(CC3)CCOCCO,IPSVAUIEEPSJRZ-UHFFFAOYSA-N
