cas,cluster,smiles
129299-90-7,1,CC1=C(CC2CCC3=C(C)C4=CC=CC=C4N3C2=O)NC=N1
NOCAS_48522,1,CCN(CC)C(=O)C1=CC(=C(C=C1N(CC)CCN(C)C)N1CCC(CC1)C1=CC=CC=C1)S(=O)(=O)CC1=CC=CC=C1
33414-30-1,1,CN1CCN(CCC(=O)N2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1
289716-94-5,1,CNCC1=C(OC2=CC=C(Cl)C(Cl)=C2)C=CC(F)=C1
303-49-1,1,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C12
75859-03-9,1,CC1CN(CCCN2C3=C(C=CC=C3)C3=C2C=CC=C3)CC(C)N1
4789-68-8,1,CN1CCN(CC1)C1CC2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
29216-28-2,1,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=C1C=CC=C2
549-18-8,1,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
742693-38-5,1,FC(F)(F)C1=C(Cl)C(=CC=C1)C(=O)NC(C1CCCCN1)C1=CC=CC=C1
1553-34-0,1,CN1CCCC(CC2C3=C(SC4=C2C=CC=C4)C=CC=C3)C1
14587-50-9,1,CC(C(O)C1=CC=CC=C1)N(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
69-23-8,1,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1
58-33-3,1,CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C
89419-40-9,1,ClC1=CC2=C(CCC3=C(C=CC=C3)N2CCCN2CCC3(CC2)N2CCCCC2NC3=O)C=C1
53179-11-6,1,CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
58-39-9,1,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
20229-30-5,1,CSC1=CC2=C(SC3=C(CC2N2CCN(C)CC2)C=CC=C3)C=C1
54910-89-3,1,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
79559-97-0,1,CNC1CCC(C2=CC(Cl)=C(Cl)C=C2)C2=C1C=CC=C2
848-53-3,1,CN1CCCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
113-59-7,1,CN(C)CCC=C1C2=CC=CC=C2SC2=CC=C(Cl)C=C12
1098-60-8,1,CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(C=C12)C(F)(F)F
14976-57-9,1,CN1CCCC1CCOC(C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
481-49-2,1,COC1=CC=C2CC3N(C)CCC4=CC(OC)=C(OC5=C6C(CC7=CC=C(OC1=C2)C=C7)N(C)CCC6=CC1=C5OCO1)C=C34
136434-34-9,1,CNCCC(OC1=C2C=CC=CC2=CC=C1)C1=CC=CS1
145742-28-5,1,COC1=C(CNC2CCCNC2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1
50-53-3,1,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
1244-76-4,1,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
NOCAS_47311,2,CNS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N1CCC(CCN2C3CCC2CC(C3)N2C(C)=NC3=C2C=CC=C3)(CC1)C1=CC(F)=CC=C1
231277-92-2,2,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(NC3=CC=C(OCC4=CC(F)=CC=C4)C(Cl)=C3)N=CN=C2C=C1
129722-12-9,2,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl
83657-24-3,2,CC(C)(C)C(O)C(=CC1=C(Cl)C=C(Cl)C=C1)N1C=NC=N1
NOCAS_47387,2,CC(=O)NC1(CCN(CCC2(CN(C(=O)CO2)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC(F)=CC=C1
19774-82-4,2,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
1951-25-3,2,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
101477-54-7,2,COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC
NOCAS_45916,2,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1
57132-53-3,2,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)CC2=C(C)N(C(=O)C3=CC=C(Cl)C=C3)C3=C2C=C(OC)C=C3)CC1)NC(=O)C1=CC=CC=C1
114369-43-6,2,ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1
170729-80-3,2,CC(OC1OCCN(CC2=NC(=O)NN2)C1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
79983-71-4,2,CCCCC(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl
1032350-13-2,2,NC1(CCC1)C1=CC=C(C=C1)C1=C(C=C2C3N=NC(=O)N3C=CC2=N1)C1=CC=CC=C1
184475-35-2,2,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
2062-78-4,2,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2)C1=CC=C(F)C=C1
55985-32-5,2,COC(=O)C1C(C2=CC(=CC=C2)[N+]([O-])=O)C(C(=O)OCCN(C)CC2=CC=CC=C2)=C(C)N=C1C
3416-26-0,2,CC1=CC=CC(C)=C1NC(=O)CN1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1
2152-44-5,3,CCCCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CO
51333-22-3,3,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
83919-23-7,3,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)C1=CC=CO1)C(=O)CCl
127-31-1,4,CC12CC(O)C3(F)C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO
1177-87-3,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(C)=O
50-03-3,4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C
13609-67-1,4,CCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)CO
33564-31-7,4,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(C)=O)C(=O)COC(C)=O
25122-46-7,4,CCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CCl
82034-46-6,4,CCOC(=O)OC1(CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C)C(=O)OCCl
426-13-1,4,CC1CC2C3CCC(O)(C(C)=O)C3(C)CC(O)C2(F)C2(C)C=CC(=O)C=C12
14484-47-0,4,CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
25122-57-0,4,CCCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC12C)C(=O)CCl
67-73-2,4,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO
520-85-4,4,CC1CC2C3CCC(O)(C(C)=O)C3(C)CCC2C2(C)CCC(=O)C=C12
57524-89-7,4,CCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)CO
124-94-7,4,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO
1310709-74-0,4,CC1CC2C3CC(F)C4=CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
2668-66-8,4,CC1CC2C3CCC(C(C)=O)C3(C)CC(O)C2C2(C)CCC(=O)C=C12
59198-70-8,4,CCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
49697-38-3,4,COC(=O)C1(C)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C
50-23-7,4,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO
52-21-1,4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C
3093-35-4,4,CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CCl
53-34-9,4,CC12CC(O)C3C(CC(F)C4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO
4419-39-0,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO
50-24-8,4,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO
50-22-6,4,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO
1524-88-5,4,CC1(C)OC2CC3C4CC(F)C5=CC(=O)CCC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
71-58-9,4,CC1CC2C3CCC(OC(C)=O)(C(C)=O)C3(C)CCC2C2(C)CCC(=O)C=C12
33755-46-3,4,CCCCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CO
2919-66-6,4,CC(=O)OC1(C(C)=O)C(=C)CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C
378-44-9,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
83-43-2,4,CC1CC2C3CCC(O)(C(=O)CO)C3(C)CC(O)C2C2(C)C=CC(=O)C=C12
125-04-2,4,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)COC(=O)CCC(O)=O
382-67-2,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO
638-94-8,4,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
356-12-7,4,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
2135-17-3,4,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
3385-03-3,4,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
76-25-5,4,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO
338-98-7,4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
2349-07-7,5,CCCCCCOC(=O)C(C)C
72590-77-3,5,CCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)COC(=O)CC
76-90-4,5,C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
2011-67-8,5,CN1C2=CC=C(C=C2C(=NCC1=O)C1=CC=CC=C1)[N+]([O-])=O
115256-11-6,5,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
1180-71-8,5,CC1(C)OC2CC(=O)OCC22C1CC(=O)C1(C)C2CCC2(C)C(OC(=O)C3OC123)C1=COC=C1
99464-64-9,5,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)C2=CC=CC=C12)C(=O)NC1=NC=CC=C1
544-62-7,5,CCCCCCCCCCCCCCCCCCOCC(O)CO
13380-94-4,5,O=C1CC2CC1C1CCCC21
30748-29-9,5,CC(C)=CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
1642-54-2,5,CCN(CC)C(=O)N1CCN(C)CC1
55837-27-9,5,NS(=O)(=O)C1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)N1CCCC1
26040-51-7,5,CCCCC(CC)COC(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1C(=O)OCC(CC)CCCC
88678-31-3,5,COC1=CC=CC(=N1)N(C)C(=S)OC1=CC2=C(CCCC2)C=C1
151-73-5,5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O
2392-39-4,5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O
2305-05-7,5,CCCCCCCCC1CCC(=O)O1
67-78-7,5,CC(=O)OCC(=O)C1(O)C(CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)OC(C)=O
60166-93-0,5,CC(O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I
1115-70-4,5,CN(C)C(=N)NC(N)=N
82626-48-0,5,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
562-49-2,6,CCC(C)(C)CC
64063-37-2,6,CC1=C(Cl)C(N)=C(Cl)C=C1
111-26-2,6,CCCCCCN
1633-05-2,6,OC(O)=O
110-43-0,6,CCCCCC(C)=O
143-22-6,6,CCCCOCCOCCOCCO
5632-47-3,6,O=NN1CCNCC1
5459-58-5,6,CCCCOC(=O)CC#N
544-92-3,6,C#N
72269-48-8,6,CCCCCCCCC=CCCCOC(C)=O
6673-35-4,6,CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1
2497-21-4,6,CCC(=O)C=CC
122-60-1,6,C(OC1=CC=CC=C1)C1CO1
3710-84-7,6,CCN(O)CC
7785-70-8,6,CC1=CCC2CC1C2(C)C
3179-47-3,6,CCCCCCCCCCOC(=O)C(C)=C
840-65-3,6,COC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(=O)OC
1975-78-6,6,CCCCCCCCCC#N
67-66-3,6,ClC(Cl)Cl
10016-20-3,6,[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O
109-89-7,6,CCNCC
122-70-3,6,CCC(=O)OCCC1=CC=CC=C1
578-46-1,6,CC1=CC=C(C(N)=C1)[N+]([O-])=O
509-60-4,6,[H]C12CC3=C4C(OC5C(O)CCC1C45CCN2C)=C(O)C=C3
626-56-2,6,CC1CCCNC1
