"cas","cluster"
"129299-90-7",1
"NOCAS_48522",1
"33414-30-1",1
"84-02-6",1
"289716-94-5",1
"303-49-1",1
"75859-03-9",1
"4789-68-8",1
"29216-28-2",1
"549-18-8",1
"742693-38-5",1
"1553-34-0",1
"14587-50-9",1
"69-23-8",1
"58-33-3",1
"89419-40-9",1
"2347-80-0",1
"53179-11-6",1
"58-39-9",1
"20229-30-5",1
"54910-89-3",1
"79559-97-0",1
"55096-75-8",1
"848-53-3",1
"113-59-7",1
"1098-60-8",1
"14976-57-9",1
"481-49-2",1
"136434-34-9",1
"145742-28-5",1
"50-53-3",1
"1244-76-4",1
"NOCAS_47311",2
"231277-92-2",2
"129722-12-9",2
"83657-24-3",2
"NOCAS_47387",2
"19774-82-4",2
"1951-25-3",2
"101477-54-7",2
"NOCAS_45916",2
"57132-53-3",2
"171228-49-2",2
"114369-43-6",2
"170729-80-3",2
"79983-71-4",2
"102992-93-8",2
"1032350-13-2",2
"184475-35-2",2
"2062-78-4",2
"55985-32-5",2
"3416-26-0",2
"2152-44-5",3
"51333-22-3",3
"83919-23-7",3
"127-31-1",4
"1177-87-3",4
"50-03-3",4
"13609-67-1",4
"33564-31-7",4
"25122-46-7",4
"82034-46-6",4
"426-13-1",4
"14484-47-0",4
"25122-57-0",4
"67-73-2",4
"520-85-4",4
"57524-89-7",4
"124-94-7",4
"1310709-74-0",4
"2668-66-8",4
"59198-70-8",4
"49697-38-3",4
"50-23-7",4
"52-21-1",4
"3093-35-4",4
"53-34-9",4
"4419-39-0",4
"NOCAS_49495",4
"NOCAS_49496",4
"NOCAS_49497",4
"NOCAS_49501",4
"NOCAS_49502",4
"NOCAS_49506",4
"NOCAS_49507",4
"NOCAS_49508",4
"NOCAS_49509",4
"NOCAS_49510",4
"NOCAS_49511",4
"NOCAS_49512",4
"NOCAS_49513",4
"NOCAS_49537",4
"NOCAS_49538",4
"NOCAS_49539",4
"NOCAS_49540",4
"NOCAS_49541",4
"NOCAS_49542",4
"NOCAS_49543",4
"NOCAS_49544",4
"NOCAS_49545",4
"NOCAS_49546",4
"NOCAS_49547",4
"NOCAS_49548",4
"NOCAS_49549",4
"NOCAS_49550",4
"NOCAS_49554",4
"NOCAS_49558",4
"NOCAS_49559",4
"NOCAS_49560",4
"NOCAS_49561",4
"NOCAS_49562",4
"50-24-8",4
"50-22-6",4
"1524-88-5",4
"71-58-9",4
"33755-46-3",4
"2919-66-6",4
"378-44-9",4
"83-43-2",4
"125-04-2",4
"382-67-2",4
"638-94-8",4
"356-12-7",4
"80474-14-2",4
"2135-17-3",4
"3385-03-3",4
"76-25-5",4
"338-98-7",4
"2349-07-7",5
"72590-77-3",5
"76-90-4",5
"2011-67-8",5
"115256-11-6",5
"1180-71-8",5
"99464-64-9",5
"NOCAS_49494",5
"NOCAS_49503",5
"NOCAS_49553",5
"544-62-7",5
"13380-94-4",5
"30748-29-9",5
"1642-54-2",5
"55837-27-9",5
"26040-51-7",5
"88678-31-3",5
"151-73-5",5
"2392-39-4",5
"2305-05-7",5
"67-78-7",5
"60166-93-0",5
"1115-70-4",5
"82626-48-0",5
"562-49-2",6
"64063-37-2",6
"111-26-2",6
"1633-05-2",6
"110-43-0",6
"5743-28-2",6
"143-22-6",6
"5632-47-3",6
"5459-58-5",6
"544-92-3",6
"72269-48-8",6
"6673-35-4",6
"55566-30-8",6
"2497-21-4",6
"36631-30-8",6
"122-60-1",6
"3710-84-7",6
"1271-19-8",6
"7787-59-9",6
"7785-70-8",6
"3179-47-3",6
"840-65-3",6
"1975-78-6",6
"67-66-3",6
"10016-20-3",6
"109-89-7",6
"122-70-3",6
"578-46-1",6
"509-60-4",6
"626-56-2",6
"2338-76-3",6
"156-59-2",6
"67-63-0",6
"20224-45-7",6
"111-66-0",6
"56-89-3",6
"352-93-2",6
"139-66-2",6
"137-06-4",6
"4300-97-4",6
"563-72-4",6
"23432-62-4",6
"121057-90-7",6
"35935-34-3",6
"4130-08-9",6
"4016-14-2",6
"75-60-5",6
"879866-95-2",6
"333-27-7",6
"15706-73-7",6
"60-56-0",6
"18694-40-1",6
"58-15-1",6
"625-55-8",6
"98-82-8",6
"765-15-1",6
"938-73-8",6
"4536-30-5",6
"64057-70-1",6
"178600-17-4",6
