"","cluster","target_gene","approved_name","TruePos","FalsePos","FalseNeg","TrueNeg","TotalCmpdsTested","OddsRatio","p_val","significant"
"1",1,"ABCB1","ATP binding cassette subfamily B member 1",1,24,26,1778,1829,2.84935897435897,0.312219287319348,FALSE
"2",1,"ACHE","acetylcholinesterase (Cartwright blood group)",1,62,26,1740,1829,1.07940446650124,0.614542899901538,FALSE
"3",1,"ADRA1A","adrenoceptor alpha 1A",4,79,23,1723,1829,3.79306549257017,0.0311737829408013,FALSE
"4",1,"ADRA1B","adrenoceptor alpha 1B",4,56,23,1746,1829,5.42236024844721,0.0104396771289591,FALSE
"5",1,"ADRA1D","adrenoceptor alpha 1D",8,64,19,1738,1829,11.4342105263158,4.75140473399741e-06,TRUE
"6",1,"ADRA2A","adrenoceptor alpha 2A",6,76,21,1726,1829,6.48872180451128,0.000938585922539265,TRUE
"7",1,"ADRA2B","adrenoceptor alpha 2B",7,72,20,1730,1829,8.40972222222222,9.48950604925677e-05,TRUE
"8",1,"ADRA2C","adrenoceptor alpha 2C",5,71,22,1731,1829,5.54097311139565,0.00427449083326318,TRUE
"9",1,"ADRB1","adrenoceptor beta 1",1,50,26,1752,1829,1.34769230769231,0.536581842305917,FALSE
"10",1,"ADRB2","adrenoceptor beta 2",1,51,26,1751,1829,1.32051282051282,0.543619125915444,FALSE
"11",1,"ADRB3","adrenoceptor beta 3",1,20,26,1782,1829,3.42692307692308,0.269517363529644,FALSE
"12",1,"ANO1","anoctamin 1",1,5,26,1797,1829,13.8230769230769,0.0854804116056846,FALSE
"13",1,"AOX1","aldehyde oxidase 1",2,10,25,1792,1829,14.336,0.012648137505326,FALSE
"14",1,"CACNA1A","calcium voltage-gated channel subunit alpha1 A",1,5,26,1797,1829,13.8230769230769,0.0854804116056846,FALSE
"15",1,"CACNA1C","calcium voltage-gated channel subunit alpha1 C",1,17,26,1785,1829,4.03846153846154,0.235827162988256,FALSE
"16",1,"CALM1","calmodulin 1",4,8,23,1794,1829,39,1.72366924590198e-05,TRUE
