"","cas","cluster","inchikey","short_key","target_gene"
"1","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","GSTP1"
"2","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","HTR2A"
"3","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","HTR2B"
"4","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","HTR2C"
"5","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","SLC6A2"
"6","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","SLC6A3"
"7","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","SLC6A4"
"8","75859-03-9",1,"GUDVQJXODNJRIJ-UHFFFAOYSA-N","GUDVQJXODNJRIJ","SIGMAR1"
"9","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","ADRA1A"
"10","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","ADRA1B"
"11","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","ADRA1D"
"12","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","DRD2"
"13","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","HRH1"
"14","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","HTR2C"
"15","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","HTR6"
"16","29216-28-2",1,"HOKDBMAJZXIPGC-UHFFFAOYSA-N","HOKDBMAJZXIPGC","HRH1"
"17","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","ADRA1A"
"18","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","ADRA1B"
"19","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","ADRA1D"
"20","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","ADRA2A"
"21","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","ADRB1"
"22","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","ADRB2"
"23","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","ADRB3"
"24","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","CHRM1"
"25","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","CHRM2"
"26","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","CHRM3"
"27","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","CHRM4"
"28","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","CHRM5"
"29","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","HRH1"
