"","cas","cluster","inchikey","short_key","target_gene"
"1","289716-94-5",1,"FQEBOQLYHASAOY-UHFFFAOYSA-N","FQEBOQLYHASAOY","SLC6A4"
"2","289716-94-5",1,"FQEBOQLYHASAOY-UHFFFAOYSA-N","FQEBOQLYHASAOY","KCNH2"
"3","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","KCNJ6"
"4","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","HRH1"
"5","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","SLC6A2"
"6","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","SLC6A3"
"7","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","SLC6A4"
"8","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","SIGMAR1"
"9","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","DRD3"
"10","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","CHRM5"
"11","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","CHRM3"
"12","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","CHRM4"
"13","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","ADRA2B"
"14","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","CHRM2"
"15","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","HTR2A"
"16","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","CHRM1"
"17","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","ADRA1D"
"18","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","HTR2C"
"19","303-49-1",1,"GDLIGKIOYRNHDA-UHFFFAOYSA-N","GDLIGKIOYRNHDA","KCNJ5"
"20","75859-03-9",1,"GUDVQJXODNJRIJ-UHFFFAOYSA-N","GUDVQJXODNJRIJ","CYP1A2"
"21","75859-03-9",1,"GUDVQJXODNJRIJ-UHFFFAOYSA-N","GUDVQJXODNJRIJ","SIGMAR1"
"22","4789-68-8",1,"XRYLGRGAWQSVQW-UHFFFAOYSA-N","XRYLGRGAWQSVQW","CYP2D6"
